subject_id,valence,arousal,angle,vector_length
sub-001,0.0,0.0,0.0,0.0
sub-002,0.0,0.0,0.0,0.0
sub-003,0.0,0.0,0.0,0.0
sub-004,0.0,0.0,0.0,0.0
sub-005,0.0,0.0,0.0,0.0
sub-006,0.0,0.0,0.0,0.0
sub-007,0.0,0.0,0.0,0.0
sub-009,0.0,0.0,0.0,0.0
sub-011,0.0,0.0,0.0,0.0
sub-012,0.0,0.0,0.0,0.0
sub-014,0.0,0.0,0.0,0.0
sub-015,0.0,0.0,0.0,0.0
sub-016,0.0,0.0,0.0,0.0
sub-017,0.0,0.0,0.0,0.0
sub-018,0.0,0.0,0.0,0.0
sub-019,0.0,0.0,0.0,0.0
sub-020,0.0,0.0,0.0,0.0
sub-021,0.0,0.0,0.0,0.0
sub-022,0.0,0.0,0.0,0.0
sub-023,0.0,0.0,0.0,0.0
sub-024,0.0,0.0,0.0,0.0
sub-025,0.0,0.0,0.0,0.0
sub-026,0.0,0.0,0.0,0.0
sub-027,0.0,0.0,0.0,0.0
sub-028,0.0,0.0,0.0,0.0
sub-029,0.0,0.0,0.0,0.0
sub-030,0.0,0.0,0.0,0.0
sub-031,0.0,0.0,0.0,0.0
sub-032,0.0,0.0,0.0,0.0
sub-033,0.0,0.0,0.0,0.0
sub-034,0.0,0.0,0.0,0.0
sub-035,0.0,0.0,0.0,0.0
sub-036,0.0,0.0,0.0,0.0
sub-037,0.0,0.0,0.0,0.0
sub-038,0.0,0.0,0.0,0.0
sub-039,0.0,0.0,0.0,0.0
sub-040,0.0,0.0,0.0,0.0
sub-041,0.0,0.0,0.0,0.0
sub-042,0.0,0.0,0.0,0.0
sub-043,0.0,0.0,0.0,0.0
sub-044,0.0,0.0,0.0,0.0
sub-045,0.0,0.0,0.0,0.0
sub-046,0.0,0.0,0.0,0.0
sub-047,0.0,0.0,0.0,0.0
