subject_id,t_start,t_end,duration,n_samples,median_dt,est_sampling_rate_hz
sub-001,0,1392,1392,1393,1.0,1.0
sub-002,0,1392,1392,1393,1.0,1.0
sub-003,0,1392,1392,1393,1.0,1.0
sub-004,0,1392,1392,1393,1.0,1.0
sub-005,0,1392,1392,1393,1.0,1.0
sub-006,0,1392,1392,1393,1.0,1.0
sub-007,0,1392,1392,1393,1.0,1.0
sub-009,0,1392,1392,1393,1.0,1.0
sub-011,0,1392,1392,1393,1.0,1.0
sub-012,0,1392,1392,1393,1.0,1.0
sub-014,0,1392,1392,1393,1.0,1.0
sub-015,0,1392,1392,1393,1.0,1.0
sub-016,0,1392,1392,1393,1.0,1.0
sub-017,0,1392,1392,1393,1.0,1.0
sub-018,0,1392,1392,1393,1.0,1.0
sub-019,0,1392,1392,1393,1.0,1.0
sub-020,0,1392,1392,1393,1.0,1.0
sub-021,0,1392,1392,1393,1.0,1.0
sub-022,0,1392,1392,1393,1.0,1.0
sub-023,0,1392,1392,1393,1.0,1.0
sub-024,0,1392,1392,1393,1.0,1.0
sub-025,0,1392,1392,1393,1.0,1.0
sub-026,0,1392,1392,1393,1.0,1.0
sub-027,0,1392,1392,1393,1.0,1.0
sub-028,0,1392,1392,1393,1.0,1.0
sub-029,0,1392,1392,1393,1.0,1.0
sub-030,0,1392,1392,1393,1.0,1.0
sub-031,0,1392,1392,1393,1.0,1.0
sub-032,0,1392,1392,1393,1.0,1.0
sub-033,0,1392,1392,1393,1.0,1.0
sub-034,0,1392,1392,1393,1.0,1.0
sub-035,0,1392,1392,1393,1.0,1.0
sub-036,0,1392,1392,1393,1.0,1.0
sub-037,0,1392,1392,1393,1.0,1.0
sub-038,0,1392,1392,1393,1.0,1.0
sub-039,0,1392,1392,1393,1.0,1.0
sub-040,0,1392,1392,1393,1.0,1.0
sub-041,0,1392,1392,1393,1.0,1.0
sub-042,0,1392,1392,1393,1.0,1.0
sub-043,0,1392,1392,1393,1.0,1.0
sub-044,0,1392,1392,1393,1.0,1.0
sub-045,2,1392,1390,1391,1.0,1.0
sub-046,0,1392,1392,1393,1.0,1.0
sub-047,0,1392,1392,1393,1.0,1.0
